id,nom,groupe,temps,niveau,figures,
# ── Niveau C1/1 — Formules de base ─────────────────────────────────────────────,,,,,,
bin_q,Noire,binary,1,C1/1,q,
bin_qr,Soupir,binary,1,C1/1,qr,
bin_h,Blanche,binary,2,C1/1,h,
bin_hr,Demi-pause (2 temps),binary,2,C1/1,hr,
bin_hd,Blanche-pointée (3 temps),binary,3,C1/1,hdr,
bin_ee,Deux croches,binary,1,C1/1,"8,8",
bin_ssss,Quatre doubles croches,binary,1,C1/1,"16,16,16,16",
ter_eee,Trois croches,ternary,1,C1/1,"8,8,8",
ter_qd,Noire pointée,ternary,1,C1/1,qd,
ter_qdr,Soupir pointé,ternary,1,C1/1,qdr,
,,,,,,
,,,,,,
,,,,,,
# ── Niveau C1/2 — Noire pointée et rythmes ternaires composés ──────────────────,,,,,,
bin_eds,Croche-pointée + double,binary,1,C1/2,"8d,16",
bin_ttt,Triolet de croches,binary,1,C1/2,"8t,8t,8t",
ter_qe,Noire + croche,ternary,1,C1/2,"q,8",
ter_hd,Blanche pointée,ternary,2,C1/2,hd,
,,,,,,
,,,,,,
# ── Niveau C1/3  ──────────────────────────────────────────────────────,,,,,,
bin_qde,Noire pointée + croche,binary,2,C1/3,"qd,8",
bin_ere,Demi-soupir + croche,binary,1,C1/3,"8r,8",
bin_eer,Croche + demi-soupir,binary,1,C1/3,"8,8r",
ter_eq,Croche + noire,ternary,1,C1/3,"8,q",
ter_qre,Soupir + croche,ternary,1,C1/3,"qr,8",
,,,,,,
,,,,,,
,,,,,,
# ── Niveau C1/4 —─────────────────────────────────────────────,,,,,,
ter_ree,Demi-soupir + deux croches,ternary,1,C1/4,"8r,8,8",
ter_eer,Deux croches + demi-soupir,ternary,1,C1/4,"8,8,8r",
bin_ess,Croche + deux doubles croches,binary,1,C1/4,"8,16,16",
bin_sse,Deux doubles croches + croche,binary,1,C1/4,"16,16,8",
bin_sser,Deux doubles croches + demi-soupir,binary,1,C1/4,"16,16,8r",
bin_erss,Demi-soupir + deux doubles croches,binary,1,C1/4,"8r,16,16",
ter_edse,Sicilienne ternaire,ternary,1,C1/4,"8d,16,8",
,,,,,,
,,,,,,
# ── Niveau C2 —  ──────────────────────────────────────────────,,,,,,
bin_eqe,Syncope croche-noire-croche,binary,2,C2,"8,q,8",
bin_ses,Syncope double-croche-double,binary,1,C2,"16,8,16",
bin_eqd,Croche + noire pointée,binary,2,C2,"8,qd",
bin_sed,Double-croche + croche-pointée,binary,1,C2,"16,8d",
ter_ere,Croche-demi-soupir-croche,ternary,1,C2,"8,8r,8",
ter_sssssss,6 doubles,ternary,1,C2,"16,16,16,16,16,16",
ter_eess,Croche + croche + 2 doubles,ternary,1,C2,"8,8,16,16",
ter_esse,Croche + 2 doubles + croche,ternary,1,C2,"8,16,16,8",
ter_ssee,2 doubles + croche + croche,ternary,1,C2,"16,16,8,8",
ter_edsss,Croche-pointée + 3 doubles,ternary,1,C2,"8d,16,16,16",
ter_qss,Noire + 2 doubles,ternary,1,C2,"q,16,16",
bin_qtqtqt,Triolet de noires,binary,2,C2,"qt, qt, qt",?
ter_ebeb,Duolet ,ternary,1,C2,"eb, eb",?
,,,,,,
# ── Niveau C3 ──────────────────────────────────────,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# ── Niveaux C2/3,C2/4,C3 — À compléter selon votre progression ───────────────,,,,
# Exemple (décommenter et adapter) :,,,,,,
# ma_formule,Ma formule,binary,1,C2/3,"8,16,16",
